0,1,2,3,4,5,6,7,8,9,10
"[-1.8773369788574752, 1.916942970196784]","[-1.8959374607576165, 1.860923845132794]","[-0.5832605997091527, 2.4781559341421326]","[-0.7609343381356767, 2.356882237305846]","[-1.5199804463069655, 1.8327446326774413]","[-1.139765347047094, 2.532290559792529]","[-0.0288568338515368, 1.7520671371787346]","[-1.890105597825969, 7.0]","[-1.6367396273986887, 1.5269369473365955]","[0.288803908719093, 1.70711564070369]","[-1.8886365873419335, 10.0]"
"[-0.5420847789153459, 1.7334591928437104]","[-1.697646821254781, 1.3356248803813027]","[-0.7252566689534709, 2.0852097351386183]","[-0.5379212226852867, 1.5141301400491958]","[0.0577403339529041, 2.1609385788224733]","[-1.1398842100364717, 2.5001606732655057]","[0.8297903636801065, 2.535109754323437]","[-1.890105597825969, 7.0]","[-0.4030331308417466, 2.402468398586851]","[-1.474773609986629, -0.030694743961912963]","[-0.7607361961649179, 1.8165234084859678]"
"[1.0790834513290244, 2.2435674981470477]","[-1.8959374607576165, 1.860923845132794]","[-0.5215280763278984, 1.1429077162950005]","[-1.883187343131268, 3.0]","[0.5468346439053129, 2.734359133501672]","[-0.2201409132779131, 1.8262479145168407]","[-1.891391774852884, 6.0]","[0.3662814359591366, 1.8417330383402006]","[-1.8770450581862477, 8.0]","[-0.4800019237073827, 2.403093997260231]","[1.3520063728498577, 2.4477284694606327]"
"[-0.197452984861314, 1.0474161333181362]","[-0.8003662549232285, 2.501732819297004]","[-1.3406058804547147, 0.1895810935214477]","[-0.3716440494245161, 2.6295606044353894]","[-0.0829291902790655, 1.6835999526695002]","[-1.416518808353497, 2.047134516512478]","[-1.524303031023898, -0.2755270083617929]","[-1.4047590709994604, 1.7423924268637925]","[-1.0921896879002753, 1.138985330619359]","[-1.5534659384774625, 2.5277205029232217]","[-1.8886365873419335, 10.0]"
"[-0.368122614413111, 0.8334551057089468]","[-0.8064084698129861, 0.6719999920218513]","[-1.133541938489356, 2.35874406874171]","[0.2863942626707531, 1.4944098548367513]","[-0.9044959236452128, 2.4891230166283127]","[-0.3741707413750239, 2.483636018465684]","[-1.034212532079722, 0.7580595533648241]","[1.0242569810108266, 2.578277580375668]","[-1.0599442944607465, 1.3309825684213523]","[-1.669842296736244, 2.5656742592729556]","[-1.2465612094461058, -0.08402777801491501]"
"[0.6209737220118822, 1.766172692236002]","[-1.122430270139898, 1.8251236778879685]","[0.1675652307449394, 2.572345566715477]","[-1.5961375251348946, 0.14605736114852574]","[0.9602352149017972, 2.0478523099285395]","[-1.8983699700603205, 5.0]","[-1.2133907779079227, 0.9968492567971983]","[-1.7820234292524528, 0.9092505794993768]","[-1.3629743924415745, 1.465257466759677]","[-0.9852936816583782, 1.8153089912445588]","[-1.0415810502977187, 1.3307059444639466]"
"[-0.5379861713920925, 1.6175234767058806]","[1.501714963730277, 2.5693994840768646]","[1.046360736344605, 2.2036076606585833]","[-0.7488705379184247, 2.23833240679097]","[-1.4757827837564337, 1.1635345231135215]","[-1.072889320032514, 1.9307896606649617]","[-0.9656940016903928, 0.3422667935014081]","[0.3632490113564761, 2.004127191811329]","[-0.1721265592557217, 1.9295725130554964]","[-1.3266580631948297, 2.694936042097602]","[1.5702169636410663, 2.7211052059860292]"
"[0.0670714696977038, 1.6202785559039103]","[0.3385575660094261, 2.2817736118508263]","[-1.6831945235101526, 0.0023684984425084155]","[-0.08247615388998, 1.9701565270214663]","[-1.3424814353819745, 2.2985452857049196]","[-1.672692798987283, 2.2514168769735754]","[-1.891391774852884, 6.0]","[-1.3090216308304068, 2.8015140389734148]","[-1.8770450581862477, 8.0]","[-0.9653647696667548, 2.116165074181826]","[-1.1358097660804465, 0.8732288763316283]"
"[-0.4659026423186547, 2.3861691262020326]","[-1.4059585247146835, 0.6488041976367169]","[-1.903740493650988, 2.0]","[-1.404842799639401, 1.304810264519188]","[-0.8678101365552388, 2.5717450617162685]","[-1.4012273125521693, 0.3107153033034763]","[-0.8102261441771978, 1.8444412665763013]","[-1.2379821715280372, 2.751558927792792]","[0.0589232250586852, 2.1715799336978767]","[-1.696373587256906, 2.711440957040899]","[-0.445739236626915, 2.27130243053368]"
"[-1.8773369788574752, 1.916942970196784]","[0.4966682538647686, 2.1579036941207232]","[-1.1789180606149443, 1.0383699693924833]","[-1.1852785189001291, 0.9654849372183258]","[-1.878924958092792, 4.0]","[-0.8800186030512107, 1.4610351310886223]","[1.076784051559198, 2.5677746351204105]","[-1.41817498695266, 1.7640381685925608]","[-0.2795728769128774, 1.16258735179511]","[-0.8348024077902167, 1.9030113406139584]","[-0.1324004151130198, 1.0601904420740298]"
"[-0.7475414460349672, 1.0400769301017767]","[-0.2444262802771535, 1.2070806016105864]","[0.5548942867996394, 1.701268552306389]","[-0.0088311169810701, 1.858074765549624]","[-0.1740139050755165, 2.104054309401615]","[-0.6652198326815909, 2.0104977509282236]","[0.554564748444492, 2.160451958849889]","[-1.3533727975378618, 0.2094901573920397]","[-0.3014241478575714, 2.2861122186846523]","[-1.4295985504849569, 2.0990530688725]","[-0.6209635086836969, 2.4559038764726355]"
"[-0.6146595079379092, 2.4607754502088417]","[-1.506180247422665, -0.0846942543938678]","[-0.5492087243591776, 0.4861044816239197]","[-0.5267703523300175, 2.702054678050554]","[-1.878924958092792, 4.0]","[1.2056011776533433, 2.58691162076851]","[0.2480550362394542, 1.5811094154524001]","[-1.57707805583552, 0.9537741124547219]","[0.7356941170949953, 2.3690470286494816]","[-0.6443191148688592, 0.39993164949641735]","[0.1138852849938497, 2.556829338687579]"
"[-1.6945329062396652, -0.12110312106820542]","[-0.8754496898854269, 1.4883589633854473]","[-1.7950277463890834, 0.48177374575867093]","[-0.4254454725607868, 1.766278127711459]","[-0.7505636358761258, 0.7587983109989147]","[-0.5145253033732127, 2.6813287830394197]","[0.2335179716269934, 2.0436186328186468]","[-0.4547479155668841, 2.415919912984971]","[-0.7621860314037102, 1.2123847281122946]","[-1.2136212687301706, 1.4993468098510232]","[-0.2234294623203313, 0.9387681656453661]"
"[-1.8773369788574752, 1.916942970196784]","[-1.198102690643987, 1.2699555414823038]","[-0.8190462381046549, 1.6452292219296316]","[-0.0720866725071244, 2.531098450607036]","[-0.019977777219298, 2.5492559569085023]","[-1.8983699700603205, 5.0]","[-1.891391774852884, 6.0]","[-1.890105597825969, 7.0]","[-0.8772715476632972, 1.020606024790066]","[-0.2815728501555263, 0.969707589713652]","[-1.240871513398627, 0.8637976369846319]"
"[0.1376598039227048, 1.694522714662015]","[-1.8959374607576165, 1.860923845132794]","[-1.1233102958280987, 1.7211111862666393]","[-0.8338567999939391, 2.22678890716181]","[-1.878924958092792, 4.0]","[-0.6656880935743316, 1.8105874538023516]","[-1.4283149628023843, 2.7598196206454206]","[-1.890105597825969, 7.0]","[-0.5419810884468367, 1.9310108931243053]","[-1.6298131582626088, 2.4510634133090314]","[-1.2906497567561015, 1.697414539109013]"
"[-0.3598944463501942, 2.2192634348007214]","[-0.7765822113231056, 1.5771034910319202]","[-1.4418014394032808, 0.5055382398115925]","[-1.883187343131268, 3.0]","[0.2206875273195483, 2.1783522275366227]","[-0.6299267934164805, 2.2351577865735077]","[-0.7955718719839323, 1.2789460324435162]","[-1.890105597825969, 7.0]","[-0.7022555719435327, 1.229963279943393]","[-1.6961167599152949, 2.268918676986178]","[-1.8886365873419335, 10.0]"
"[-1.717772746952566, 0.10655136626478312]","[-1.8959374607576165, 1.860923845132794]","[-0.4635385627172013, 1.153280275485625]","[-0.4042158615418523, 0.960693617083374]","[0.1313579567290279, 2.6731508068251624]","[0.6269389070266982, 1.90170102675593]","[0.2590508717485962, 1.301134906496581]","[-1.4088280723290365, 2.020108618704386]","[1.167518150980938, 2.27885754276219]","[-1.1951579438360225, 1.1456301442025274]","[-0.8046542198030465, 0.7451360952564487]"
"[-1.8773369788574752, 1.916942970196784]","[-1.1000096971029687, 1.79966247718554]","[-0.9272049806440492, 1.9659378601923516]","[-1.1539943942179307, 0.10061235595781415]","[-1.5243221130543982, 0.9412376537916457]","[-0.6546067056817593, 0.7609643336264642]","[-1.3787341909379245, -0.3283774451220185]","[0.7282615732230565, 1.8890166972357976]","[-1.4959011667204385, 0.9949362507727288]","[-0.9928863541820196, 0.6808447607466184]","[-1.8886365873419335, 10.0]"
"[-0.5962546501717788, 0.9082427391258847]","[-0.9194293618792116, 0.6133169998171992]","[-1.903740493650988, 2.0]","[-1.539953484527503, 1.3472358996713216]","[-0.8050350706365442, 0.9705238480561622]","[-0.8721916589818324, 1.5170131245840488]","[0.4601120744134239, 1.8935175761529977]","[-1.1811399472692616, 0.15186931065500997]","[-0.6585426980232953, 2.4742987783244033]","[-0.1913976703881376, 2.077220833976669]","[-1.5595158938055624, -0.48651011002546407]"
"[-0.5542352780835934, 0.5881288183164997]","[0.6400399201869467, 2.5523090930870485]","[-0.934004506919022, 1.903736776029548]","[-0.5937068763769611, 0.5365088100649424]","[-1.229093756670438, 1.2362999020943841]","[-0.7338022928725264, 1.1642784770857104]","[-1.7708123736601789, 0.722464727377262]","[-1.529618731953056, -0.15293877334906725]","[-1.2868743438619217, 0.8487338065878088]","[-0.9602377446571746, 2.058226328846419]","[-1.7194647004615748, 1.956114807186132]"
"[-0.2753437304086338, 0.7571349349392629]","[-0.2311798576529035, 2.4285276695371656]","[-1.5959083049673717, 1.0684075161339244]","[-1.0761774778068878, 1.9534971605482172]","[-1.878924958092792, 4.0]","[-0.6153148943658159, 0.6937865954629875]","[-1.3108226502405802, 0.7465509619796649]","[-0.6625033353006405, 2.655914168670794]","[-0.8551983546056444, 1.0152796476951862]","[-1.3870127944182715, 0.3556705024114555]","[-1.2277742710828845, 0.1090857362136729]"
"[0.7849964533958839, 2.120381767849498]","[-1.8959374607576165, 1.860923845132794]","[0.1962604029816831, 1.2514008961998244]","[0.2453007985027166, 2.0614257951607238]","[1.0228577582100673, 2.358076552025281]","[0.4289759122716123, 1.766819649926275]","[-1.891391774852884, 6.0]","[-0.8567971200167135, 2.593499298424552]","[0.3679415443695495, 1.7929274318792445]","[-1.8708523255393112, 9.0]","[-1.456288228397925, 1.4064169586408457]"
"[-0.5970276300370265, 1.9144354547986664]","[-1.8959374607576165, 1.860923845132794]","[-1.903740493650988, 2.0]","[-1.5083377236536617, 1.7017775854840407]","[-1.2405375948460562, 0.7696208138758829]","[-0.66032023853593, 1.4942498182859343]","[-1.5788051353059331, 0.03708721572743401]","[0.7396466697673081, 2.3934026633483905]","[-0.6238692409656377, 1.154716159267267]","[-0.5715860209108279, 2.3761733285441364]","[-0.2990934626444324, 2.0839629145600016]"
"[-1.6326015516283328, 0.06899880603951436]","[-1.0099930072337862, 1.7179271743708746]","[-1.903740493650988, 2.0]","[-1.5447615908659704, 0.8518801584121316]","[0.6176190956566757, 2.629521210068467]","[0.042102841712174, 1.73401050124952]","[0.7825852458200832, 1.9356254965156703]","[-0.5490200659270739, 1.6531132547042005]","[-0.4624599913293851, 2.140669318620678]","[0.4202690023916628, 2.3451992491561358]","[0.9346339895451724, 2.403239112134224]"
"[0.8610854952844078, 2.329743551363599]","[-1.4456358976439034, 2.2345867456043518]","[-0.1675680488144024, 1.3882858171324552]","[-1.4624482840309114, -0.017185856558575408]","[-0.3925203528084345, 2.7687395104040182]","[-0.662309487372227, 1.9626203533782105]","[-0.1782683335901586, 1.2066687730646397]","[-1.890105597825969, 7.0]","[-1.0040687440822265, 2.6015961735057855]","[-0.6504170737406253, 1.4294644369792597]","[0.1343190687508118, 1.9635935842749372]"
"[-1.8773369788574752, 1.916942970196784]","[-1.846568242818361, 1.5478711645146161]","[-1.156717744876503, 1.2175229281401574]","[-1.3290434287104982, 2.673718136551172]","[-1.878924958092792, 4.0]","[-1.5137639925475792, 0.22831288862618448]","[-0.5839290919017459, 1.0358086134729536]","[-1.0864274195985908, 2.511518045752699]","[-0.3273497764243296, 0.9543222987623707]","[-1.4378591598776316, 2.4444275939198965]","[-1.765426108933952, 0.26887521747498544]"
"[-0.4850275413262768, 1.96880478942992]","[-0.2648776866686411, 1.3979048938354253]","[-0.4824349223215206, 2.515568404289122]","[-1.842415603194444, 0.5721230536106978]","[-1.878924958092792, 4.0]","[-1.8983699700603205, 5.0]","[-0.4120582937082802, 0.727222984802092]","[-0.4106787278353677, 1.7926120377104227]","[0.5632768143282206, 2.3550404929442466]","[0.7312068454968212, 2.0706324805120566]","[-1.8886365873419335, 10.0]"
"[0.2928435834769273, 2.0360926182384356]","[-1.302185199404143, 1.8084046577331507]","[-1.0556018511372387, -0.0229094381319368]","[-1.4902590681835295, 2.2027021702268326]","[-0.0666271051806152, 1.6937966306961045]","[-0.0925290129543549, 1.3465012048051554]","[-1.891391774852884, 6.0]","[-1.2405513294868715, 1.922282269983571]","[-1.142202829296287, 1.8541817441752446]","[-1.1515127284622009, 1.5499776371907186]","[-1.0333940717600938, 1.3564695751448075]"
"[-1.8773369788574752, 1.916942970196784]","[-0.9806219281987713, 2.1347380752854956]","[-1.903740493650988, 2.0]","[0.944417476812946, 1.985068585464754]","[-1.878924958092792, 4.0]","[-0.8650930064371314, 0.6862982590849998]","[-1.2646167536824378, 2.091088752738439]","[-0.6454840726263356, 1.971200695142758]","[-1.8770450581862477, 8.0]","[-1.0720711701182708, 0.472104495112752]","[-0.0945624291380293, 2.1386378329194313]"
"[-1.1809328625704962, 2.0856285407349127]","[-1.3488244439502162, 0.30593470594709427]","[-0.7577903439355442, 0.710291737984011]","[0.763382709650349, 2.3687498301009953]","[0.685937676774766, 2.5354967303230307]","[-1.4856840368345736, 2.042819800994236]","[-0.104889405391581, 2.4798137376103835]","[-0.5189969481755089, 1.787613177119967]","[-1.3316241712442305, 2.0104412008999413]","[-1.370575181498465, 1.7616484035051463]","[-1.8886365873419335, 10.0]"
"[-0.7275428295868273, 1.2209976638706785]","[0.096005638821927, 1.1558030340688263]","[0.6806943353365268, 2.1791813098923454]","[-1.883187343131268, 3.0]","[-1.878924958092792, 4.0]","[1.125181041013049, 2.432083193098907]","[0.7829277909107546, 2.5863233619620636]","[0.5664836509691877, 2.6633807666118834]","[-1.7200591986529234, 0.5306494518399842]","[-1.4424569625429853, 0.9665870795072479]","[-1.4477420326371766, 0.9563610035625578]"
"[-1.3575143669199778, 0.5218094820767119]","[-1.8959374607576165, 1.860923845132794]","[-1.0521363966641888, 2.2396572501194836]","[-1.1266130418316536, -0.04053948189348455]","[-0.820037569549357, 0.45539046563259367]","[-1.8983699700603205, 5.0]","[-0.4740118593635494, 1.2203746383564786]","[-1.890105597825969, 7.0]","[-1.8770450581862477, 8.0]","[-1.5565973832519182, 1.0409639559876878]","[-0.5961495604056064, 2.505894759127811]"
"[-1.573437438592481, 0.6618132334214438]","[0.8849870582875918, 2.2235337617902315]","[-1.903740493650988, 2.0]","[-1.571057161088529, 0.5767565755893228]","[-0.8230447563066577, 2.274078671783341]","[-1.8983699700603205, 5.0]","[-1.7379913493857349, 0.645644454784124]","[1.1644511716441222, 2.629256589258299]","[-1.3106392881247109, 0.038001009857381196]","[-0.1733554463665365, 1.3363659004394937]","[-1.4125796507046755, -0.09698452735166896]"
"[0.2551359802528644, 1.8402524846702222]","[-1.8959374607576165, 1.860923845132794]","[0.6439185219381585, 1.9062341366012976]","[-1.4733799422681808, -0.37052575376809727]","[0.6977652907688505, 2.0770430535100397]","[-1.8983699700603205, 5.0]","[-1.3617141767041303, 0.6733270554016924]","[-0.5825328399755415, 0.8350102827302456]","[-0.1212527346690129, 2.6800864502452884]","[-0.0744793413123873, 1.2390286164987792]","[-1.461852054808371, 0.08315451487763081]"
"[-1.5282614146955664, 0.44714764824211095]","[-0.480028001873379, 1.8185554278243978]","[0.003453715693093, 1.1943408440031378]","[0.1337600153449779, 2.71913576217465]","[-1.400424846242768, 0.7831521782788733]","[-0.8436578314662236, 2.4205809718473277]","[-0.9971550971884704, 0.06271589970390923]","[0.1078547226048672, 2.494788111214324]","[0.4731851808763924, 1.6886031247124447]","[1.137404975742865, 2.7756505178923123]","[0.999527582303591, 2.202099717683648]"
"[-1.8773369788574752, 1.916942970196784]","[0.9894349794377878, 2.6841431421648707]","[-0.0872822082242284, 2.702676747483429]","[0.6907120774138077, 2.664315506051893]","[-1.878924958092792, 4.0]","[0.1991570495641019, 1.3554029508066674]","[-1.5814526671017868, 1.5907617733970165]","[0.2913352680330997, 1.7739283206075864]","[-1.8770450581862477, 8.0]","[1.1384479012108282, 2.447101900725606]","[-1.8886365873419335, 10.0]"
"[-0.0918929953090625, 1.8406346038947659]","[-1.0712628769485542, 0.5401648675951611]","[0.4059054917172483, 1.6183237706647295]","[-0.3673273838299647, 1.3162753257841504]","[0.6568306434940504, 1.8832579165988557]","[-0.7320682290896772, 0.5276732627692127]","[0.1053770849700609, 2.3591995932879306]","[-0.8565325854788962, 1.3032945870582275]","[-1.5535027374434778, 1.377245960645188]","[-0.6040712995728338, 1.9607878481917052]","[-0.757953423543628, 2.262723984018446]"
"[-1.0607582369760786, -0.04426611718967033]","[-1.764199892878014, -0.735688174070017]","[-0.8071061812216367, 1.9665463223606496]","[-0.7534411178212219, 2.5815676010424387]","[-1.3753985690810575, 0.33642037687373305]","[-1.3482128536178035, -0.08152328055351798]","[-1.6618612163579534, 0.3139914320267211]","[-1.890105597825969, 7.0]","[-1.4365073386133411, 0.7841390630540939]","[-0.881774216866385, 2.670484368685077]","[-1.2414444857928977, 0.2922694755106019]"
"[-0.7849535194828215, 1.765678924397501]","[-0.8600701969254627, 1.403169058263606]","[-0.8020265739867809, 2.1184598665099763]","[-1.7081465984486592, -0.5736200205729045]","[-0.7262971622688498, 2.21973781656024]","[-1.4552436209556556, 1.9943987003623787]","[0.1668728286137225, 1.1786003342381368]","[-1.3931042143308312, 1.0755243212651648]","[-0.7174956492072556, 0.8016806655735065]","[0.014989742647835, 2.0974596407397317]","[-0.396012351806141, 1.9829738291131869]"
"[-1.3130989101153652, -0.043662650645547085]","[-1.3003401310942522, 2.0595401281138637]","[-0.5330889159463299, 0.6835545196120987]","[-0.5103413239593445, 1.510390465012352]","[-0.1516491683564644, 2.618443982182904]","[-1.8983699700603205, 5.0]","[-1.1901576603078905, 2.722876461117007]","[-0.8991083215190332, 1.2688009876735458]","[-1.266862444464671, 0.2905293561448101]","[-0.7372590355256957, 1.858592065477501]","[-1.8886365873419335, 10.0]"
